,DP,EP,MKT,HML,SMB,STR,TB,TS,DEF,INF,IP,RV_SP500
283,-0.710375022221347,-0.4770157317052263,0.9837984357203005,-1.0328277644719779,-0.36674158067062035,0.015487686194893881,-0.2693986186319376,0.205648912823334,-0.8678997274450598,0.5394607807101416,0.42575213176658006,0.5978515819763155
284,-0.7633720515356678,-0.49910293556939483,0.1004859026236745,1.488527719604346,-1.436439307875218,-0.47631333875507487,-0.23330208725263868,-0.05373175300867932,-0.8882066386670703,0.5495878961753506,0.42522112816999463,0.7070259586628811
285,-0.8315110892255092,-0.536966713622255,1.247727963681702,0.31695547242228456,-1.3158664426700755,-0.09868040888277745,-0.23986509295796588,-0.25850596287605837,-0.8678997274450598,0.5597150116405596,0.4606616751460781,0.6847835740944492
286,-0.8390820934132691,-0.5148795097580865,-0.44440086478050916,0.2938540478299623,0.9162773695892293,0.018415073248167508,-0.23330208725263868,-0.22437692789816183,-0.8678997274450598,0.567816704012727,0.48627076939329705,0.7195799676714649
287,-0.8769371143520698,-0.5432773432977316,0.9795415078499554,-0.6236025288365535,-0.6635363257909712,0.6390211285421757,-0.23330208725263868,-0.04690594601310001,-0.9085135498890808,0.5738929732918526,0.4936417302092697,0.773742852307093
288,-0.9299341436663908,-0.5874517510260683,-0.1868567286246255,1.736042983093514,-1.0530794287614318,0.22333216697732114,-0.21033156728399416,-0.19024789292026528,-0.9897411947771231,0.5799692425709776,0.5418789381169339,0.7412734671865213
289,-0.9147921352908706,-0.555898602648685,-1.1531793551929825,0.9802963785732545,-0.17197002918539014,0.12087362011274433,-0.1709535330520318,-0.08103498099099654,-0.9897411947771231,0.5819946656640199,0.5676457562047229,0.7592363482326617
290,-0.8542241017887894,-0.492792305893918,0.7773374340085589,-0.11867139131865095,-1.8507153062723742,0.551199516943967,-0.20376856157866696,0.08961019389848596,-1.0303550172211442,0.5840200887570616,0.5711261956199685,0.770740998459843
291,-0.9753601687929514,-0.6253155290789285,1.3520226965051592,-1.5014566633448023,1.540782979113301,0.6946414825543745,-0.2989321443059093,0.16469407084985818,-1.0100481059991337,0.5840200887570616,0.5942642830315906,0.8345822676412106
292,-1.0434992064827926,-0.6978877703469106,0.7901082176195944,0.38295954268606275,0.31959626742019087,0.08867236252673447,-0.22673908154731176,-0.10833820897331377,-1.0303550172211442,0.5900963580361867,0.6138115243395682,0.8856497124039361
293,-1.1116382441726338,-0.773615326452631,1.477602068680342,-0.04606691402849503,-0.9077736681295933,0.9727432526153686,-0.20376856157866696,-0.3472414538185892,-1.0303550172211442,0.5941472042222706,0.6489839407866828,0.9638242022768595
294,-1.1040672399848737,-0.7767706412903692,-0.9658745288977943,0.25425160567169536,2.1962047079207423,-0.16601031110807077,-0.20705006443133042,-0.27898338386279625,-1.0506619284431549,0.6022488965944379,0.6913380494410863,0.9430692474420892
295,-1.1116382441726338,-0.7893919006413227,1.0561662095161686,-0.016365082409794878,0.7184142061756621,0.3433550361615397,-0.2464280986632928,-0.25850596287605837,-1.1521964845532076,0.6103505889666047,0.7311475468009594,0.953020052631531
296,-1.126780252548154,-0.820945049018706,-0.8913782911667535,0.6007729745565304,-0.30181773017554364,-0.4265477588494233,-0.21689457298932108,-0.4428027517566995,-1.1115826621091864,0.6164268582457303,0.7689434364628883,1.0142343924842083
297,-1.1116382441726338,-0.8146344193432294,0.5517202568802642,0.2509514021585065,-1.64976053093047,-0.739778173549701,-0.20705006443133042,-0.5861446986638648,-1.1521964845532076,0.6204777044318137,0.8036952560018163,0.9046719402225895
298,-1.1343512567359142,-0.8556535122338279,0.19839524364161376,1.1321057401799441,-0.8273917579928316,-1.0383716529836107,-0.16767203019936833,-0.7567898735533473,-1.1318895733311969,0.6225031275248559,0.8235526875295822,1.0033736764679257
299,-1.1343512567359142,-0.8588088270715661,-0.05063503677357957,-0.6665051745080093,-0.3914744760973163,1.3181749249016563,-0.2234575786946483,-0.7704414875445059,-1.091275750887176,0.6265539737109393,0.8433785742892337,0.9563876481318259
300,-1.2024902944257554,-0.9376916980150248,1.4158766145603368,-0.42229011453203025,0.04135119386986199,0.4019027772270122,-0.17423503590469525,-0.8182221365135609,-1.091275750887176,0.6265539737109393,0.8507285052597972,0.9917976088797809
301,-1.2554873237400763,-1.0007979947697918,0.9305868373409857,0.3235558794486624,-0.40693253573900123,0.3901932290139177,-0.23002058439997522,-0.6680543826108164,-1.0506619284431549,0.6265539737109393,0.8525528443490563,1.1166962557064937
302,-1.2782003363033567,-1.0418170876603903,0.0728158714664308,0.1552455002760282,-0.05758038783692162,0.35799197142790784,-0.2890876357479186,-0.5520156636859682,-0.9694342835551125,0.6306048198970227,0.8686564484712559,1.125689179094039
303,-1.2706293321155966,-1.0449724024981286,-0.7360004238991543,0.9802963785732545,-1.0994536076864865,0.06232587904727183,-0.2759616243372648,-0.5724930846727061,-1.0303550172211442,0.6387065122691901,0.8966314003270253,1.09765703459869
304,-1.2630583279278365,-1.048127717335867,0.594289535583716,-0.7886127044959987,-1.0623542645464426,-0.5787718856196518,-0.24970960151595656,-0.7704414875445059,-1.0506619284431549,0.6427573584552739,0.8696606235895513,1.1457385456384102
305,-1.3084843530543973,-1.1049233844151574,-0.6061641238536263,-0.7226086342322207,-1.5817450685070564,-0.6841578195375022,-0.2562726072212835,-0.7704414875445059,-1.0506619284431549,0.6508590508274407,0.8517589676848545,1.1886252996808098
306,-1.2176323028012757,-1.0323511431471752,-3.5051320035586975,1.0463004488370327,-1.8197991869890042,-0.9242035579059393,-0.3186211614218906,-0.7226608385754507,-1.0100481059991337,0.6549098970135246,0.9432545675995231,1.0914460458586757
307,-1.1570642692991946,-0.9818661057433618,1.2264433243299762,-1.2539413998556346,-0.032847492410225713,0.6712223861281855,-0.49254081261305743,-0.5520156636859682,-0.8678997274450598,0.6569353201065664,0.9392746693558063,1.0393654790123172
308,-1.1646352734869547,-0.9976426799320535,1.4350327899768902,-0.8975194204312327,-1.0283465333347357,2.740885032792637,-0.5023853211710481,-0.5861446986638648,-0.624216792780933,0.6650370124787337,0.9706301688611266,1.0749934312938276
309,-1.2857713404911169,-1.1143893289283722,1.215801004654113,-1.20773855067099,0.3072298197068429,0.208695231710953,-0.433473761265114,-0.6066221196506026,-0.38053385811680634,0.669087858664817,0.9667291325376945,1.130099374956007
